"mode","trips_week_bin","trips_week_label","n_users","prop_users"
"bike",1,"1",4972,0.0341195281458658
"bike",2,"2",48124,0.330242995271851
"bike",3,"3",3233,0.022185928096457
"bike",4,"4",22061,0.151389965894197
"bike",5,"5",3670,0.0251847683618921
"bike",6,"6",12955,0.0889015460840087
"bike",7,"7",2849,0.019550791570308
"bike",8,"8",12086,0.0829381772266561
"bike",9,"9",3034,0.0208203234904579
"bike",10,"10",13318,0.0913925735813839
"bike",11,"11",2226,0.0152755570500196
"bike",12,"12",6669,0.0457649101377271
"bike",13,"13",1508,0.0103484007328973
"bike",14,"14",2913,0.0199899809913329
"bike",15,"15",871,0.00597709352675967
"bike",16,"16",1303,0.00894162211867722
"bike",17,"17",478,0.00328019598827913
"bike",18,"18",890,0.00610747788612642
"bike",19,"19",278,0.00190772904757657
"bike",20,"20",543,0.00372624774400747
"bike",21,"21",280,0.00192145371698359
"bike",22,"22",425,0.00291649224899295
"bike",23,"23",74,0.000507812768059949
"bike",24,"24",141,0.000967589193195309
"bike",25,"25",44,0.000301942726954565
"bike",26,"26",250,0.00171558367587821
"bike",27,"27",78,0.000535262106874001
"bike",28,"28",11,7.54856817386411e-05
"bike",30,"30+",439,0.00301256493484213
"walk",1,"1",80113,0.063058212727506
"walk",2,"2",283332,0.223015110263125
"walk",3,"3",42458,0.0334193650966067
"walk",4,"4",98794,0.0777623240697668
"walk",5,"5",25545,0.0201068745911917
"walk",6,"6",48648,0.038291612257283
"walk",7,"7",34878,0.0274530268933875
"walk",8,"8",41215,0.0324409800851817
"walk",9,"9",20435,0.0160847125570954
"walk",10,"10",37871,0.0298088646562153
"walk",11,"11",10360,0.0081545202883048
"walk",12,"12",17542,0.013807586380062
"walk",13,"13",5222,0.00411031901018607
"walk",14,"14",239531,0.188538648569299
"walk",15,"15",19994,0.0157375944637419
"walk",16,"16",58131,0.0457558319381705
"walk",17,"17",10338,0.00813720373943002
"walk",18,"18",23010,0.0181115358913025
"walk",19,"19",6294,0.00495410720990255
"walk",20,"20",13447,0.0105843469417794
"walk",21,"21",13502,0.0106276383139663
"walk",22,"22",10760,0.00846936663148259
"walk",23,"23",5581,0.00439289360318813
"walk",24,"24",7719,0.00607574730747343
"walk",25,"25",3264,0.00256914616033078
"walk",26,"26",4158,0.00327282773733314
"walk",27,"27",1838,0.00144671894690195
"walk",28,"28",47417,0.0373226726361533
"walk",29,"29",4173,0.00328463447520231
"walk",30,"30+",54891,0.0432055765584304
