"sex","age","disease","dw_raw","dw_adj"
1,0,"all_cause_dementia",0,0
2,0,"all_cause_dementia",0,0
1,1,"all_cause_dementia",0,0
2,1,"all_cause_dementia",0,0
1,2,"all_cause_dementia",0,0
2,2,"all_cause_dementia",0,0
1,3,"all_cause_dementia",0,0
2,3,"all_cause_dementia",0,0
1,4,"all_cause_dementia",0,0
2,4,"all_cause_dementia",0,0
1,5,"all_cause_dementia",0,0
2,5,"all_cause_dementia",0,0
1,6,"all_cause_dementia",0,0
2,6,"all_cause_dementia",0,0
1,7,"all_cause_dementia",0,0
2,7,"all_cause_dementia",0,0
1,8,"all_cause_dementia",0,0
2,8,"all_cause_dementia",0,0
1,9,"all_cause_dementia",0,0
2,9,"all_cause_dementia",0,0
1,10,"all_cause_dementia",0,0
2,10,"all_cause_dementia",0,0
1,11,"all_cause_dementia",0,0
2,11,"all_cause_dementia",0,0
1,12,"all_cause_dementia",0,0
2,12,"all_cause_dementia",0,0
1,13,"all_cause_dementia",0,0
2,13,"all_cause_dementia",0,0
1,14,"all_cause_dementia",0,0
2,14,"all_cause_dementia",0,0
1,15,"all_cause_dementia",0,0
2,15,"all_cause_dementia",0,0
1,16,"all_cause_dementia",0,0
2,16,"all_cause_dementia",0,0
1,17,"all_cause_dementia",0,0
2,17,"all_cause_dementia",0,0
1,18,"all_cause_dementia",0,0
2,18,"all_cause_dementia",0,0
1,19,"all_cause_dementia",0,0
2,19,"all_cause_dementia",0,0
1,20,"all_cause_dementia",0,0
2,20,"all_cause_dementia",0,0
1,21,"all_cause_dementia",0,0
2,21,"all_cause_dementia",0,0
1,22,"all_cause_dementia",0,0
2,22,"all_cause_dementia",0,0
1,23,"all_cause_dementia",0,0
2,23,"all_cause_dementia",0,0
1,24,"all_cause_dementia",0,0
2,24,"all_cause_dementia",0,0
1,25,"all_cause_dementia",0,0
2,25,"all_cause_dementia",0,0
1,26,"all_cause_dementia",0,0
2,26,"all_cause_dementia",0,0
1,27,"all_cause_dementia",0,0
2,27,"all_cause_dementia",0,0
1,28,"all_cause_dementia",0,0
2,28,"all_cause_dementia",0,0
1,29,"all_cause_dementia",0,0
2,29,"all_cause_dementia",0,0
1,30,"all_cause_dementia",0,0
2,30,"all_cause_dementia",0,0
1,31,"all_cause_dementia",0,0
2,31,"all_cause_dementia",0,0
1,32,"all_cause_dementia",0,0
2,32,"all_cause_dementia",0,0
1,33,"all_cause_dementia",0,0
2,33,"all_cause_dementia",0,0
1,34,"all_cause_dementia",0,0
2,34,"all_cause_dementia",0,0
1,35,"all_cause_dementia",0,0
2,35,"all_cause_dementia",0,0
1,36,"all_cause_dementia",0,0
2,36,"all_cause_dementia",0,0
1,37,"all_cause_dementia",0,0
2,37,"all_cause_dementia",0,0
1,38,"all_cause_dementia",0,0
2,38,"all_cause_dementia",0,0
1,39,"all_cause_dementia",0,0
2,39,"all_cause_dementia",0,0
1,40,"all_cause_dementia",0.180379186681451,0.200536004279023
2,40,"all_cause_dementia",0.2063743530828,0.238236557505229
1,41,"all_cause_dementia",0.17898895652461,0.19936681510755
2,41,"all_cause_dementia",0.203045895645652,0.234782366182457
1,42,"all_cause_dementia",0.177609441239725,0.19820444268364
2,42,"all_cause_dementia",0.199771120406632,0.231378257172069
1,43,"all_cause_dementia",0.176037344664358,0.196813119810483
2,43,"all_cause_dementia",0.196239922375604,0.227659814041886
1,44,"all_cause_dementia",0.174277980773582,0.195197770802735
2,44,"all_cause_dementia",0.192467847502022,0.223643854691307
1,45,"all_cause_dementia",0.172635757677245,0.193711582048161
2,45,"all_cause_dementia",0.188916952568161,0.219874153713039
1,46,"all_cause_dementia",0.171404055113475,0.192697476914668
2,46,"all_cause_dementia",0.186016443885726,0.216859209652338
1,47,"all_cause_dementia",0.170869719686405,0.192493448825613
2,47,"all_cause_dementia",0.184172658214325,0.215083897091169
1,48,"all_cause_dementia",0.171296741233723,0.193406195076073
2,48,"all_cause_dementia",0.183545026720327,0.21474157396082
1,49,"all_cause_dementia",0.172493217722336,0.195217819473159
2,49,"all_cause_dementia",0.183831487187559,0.215481176013528
1,50,"all_cause_dementia",0.174062181502726,0.197478881090801
2,50,"all_cause_dementia",0.184748807269685,0.216975003174791
1,51,"all_cause_dementia",0.175596899624144,0.199724552527871
2,51,"all_cause_dementia",0.1860169412746,0.218896804692643
1,52,"all_cause_dementia",0.176676926330741,0.201469509536723
2,52,"all_cause_dementia",0.187351475096174,0.220912700354854
1,53,"all_cause_dementia",0.177180344146618,0.202564082656005
2,53,"all_cause_dementia",0.188955631152199,0.223250104675256
1,54,"all_cause_dementia",0.177382292203373,0.203322673136021
2,54,"all_cause_dementia",0.19103410114768,0.226153990418625
1,55,"all_cause_dementia",0.177451953413921,0.203946936911067
2,55,"all_cause_dementia",0.19329195765994,0.229298474128362
1,56,"all_cause_dementia",0.177559490441236,0.204641787253639
