"schema_field","mode","source_metric","analysis_basis","raw_candidate_value","suggested_rounded_value","status","review_note"
"default_trips_per_user_per_week_walk","walk","trips_per_week_user","active_component",10.9345360864279,10.93,"candidate_for_review",""
"distdur_default_walk","walk","distance_per_week_user_km","active_component",12.5237834238058,12.52,"needs_schema_split","Distance candidate in km per weekly user. "
"distdur_default_walk","walk","duration_per_week_user_min","active_component",184.47204530318,184.47,"needs_schema_split","Duration candidate in minutes per weekly user; the current field cannot represent both units. "
"default_trips_per_user_per_week_bike","bike","trips_per_week_user","active_component",6.20156374757003,6.2,"candidate_for_review",""
"distdur_default_bike","bike","distance_per_week_user_km","active_component",33.0586941945663,33.06,"needs_schema_split","Distance candidate in km per weekly user. "
"distdur_default_bike","bike","duration_per_week_user_min","active_component",140.277613010664,140.28,"needs_schema_split","Duration candidate in minutes per weekly user; the current field cannot represent both units. "
"default_trips_per_user_per_week_pt","pt","trips_per_week_user","main_mode",5.64249014123,5.64,"candidate_for_review",""
"distdur_default_pt","pt","distance_per_week_user_km","main_mode",110.767259723903,110.77,"needs_schema_split","Distance candidate in km per weekly user. "
"distdur_default_pt","pt","duration_per_week_user_min","main_mode",280.058870587421,280.06,"needs_schema_split","Duration candidate in minutes per weekly user; the current field cannot represent both units. "
"default_trips_per_user_per_week_ebike","ebike","trips_per_week_user","unavailable",NA,NA,"not_derivable","Current MainMode_B04 data combine e-bike with bicycle; retain an explicit reviewed assumption."
"distdur_default_ebike","ebike","distance_per_week_user_km","unavailable",NA,NA,"not_derivable","Distance candidate in km per weekly user. Current MainMode_B04 data combine e-bike with bicycle; retain an explicit reviewed assumption."
"distdur_default_ebike","ebike","duration_per_week_user_min","unavailable",NA,NA,"not_derivable","Duration candidate in minutes per weekly user; the current field cannot represent both units. Current MainMode_B04 data combine e-bike with bicycle; retain an explicit reviewed assumption."
"default_trip_distance_walk","walk","mean_trip_distance_km","active_component",1.14534199940595,1.15,"candidate_for_review",""
"assump_trip_speed_walk","walk","mean_speed_kmh","active_component",4.07339228116313,4.07,"candidate_for_review",""
"default_trip_distance_bike","bike","mean_trip_distance_km","active_component",5.33070295496354,5.33,"candidate_for_review",""
"assump_trip_speed_bike","bike","mean_speed_kmh","active_component",14.1399729372583,14.14,"candidate_for_review",""
"default_trip_distance_pt","pt","mean_trip_distance_km","main_mode",19.6309177245203,19.63,"candidate_for_review",""
"assump_trip_speed_pt","pt","mean_speed_kmh","main_mode",23.7308519080085,23.73,"candidate_for_review",""
"default_trip_distance_car","car","mean_trip_distance_km","main_mode",13.7265591958053,13.73,"candidate_for_review",""
"assump_trip_speed_car","car","mean_speed_kmh","main_mode",37.8350434800821,37.84,"candidate_for_review",""
"default_trip_distance_ebike","ebike","mean_trip_distance_km","unavailable",NA,NA,"not_derivable","Not separately observable; do not copy the bicycle value without an explicit assumption decision."
"assump_trip_speed_ebike","ebike","mean_speed_kmh","unavailable",NA,NA,"not_derivable","Not separately observable; do not copy the bicycle value without an explicit assumption decision."
