"artifact","format","source","source_version","purpose","generated_by","row_count","schema","checksum_algorithm","checksum"
"synthetic_pop/SPindivid_CensusNTSALS_parquet","parquet","MIAMA synthetic population: Census/NTS/ALS","unrecorded","Packaged sample individual attributes","upstream sample extraction",1000,"census_id:double|nts_id:double|lad25cd:string|lad25nm:string|region:string|imd_decile:<haven_labelled[0]>|urban:double|female:<haven_labelled[0]>|age1year:double|nonwhite:<haven_labelled[0]>|limitingcondition:<haven_labelled[0]>|householdcar:<haven_labelled[0]>|zerotrips:<haven_labelled[0]>|cycletime_wkhr:double|walktime_wkhr:double|sport_wkhr:double","MD5","part-0.parquet=2c4533cefa5189cdf4dddee44cc75b2f"
"synthetic_pop/SPtrip_CensusNTSALS_parquet","parquet","MIAMA synthetic population: Census/NTS/ALS","unrecorded","Packaged sample trip records","upstream sample extraction",17112,"census_id:double|nts_id:double|lad25cd:string|lad25nm:string|region:string|imd_decile:double|urban:double|female:double|age1year:double|nonwhite:double|limitingcondition:double|householdcar:double|zerotrips:double|cycletime_wkhr:double|walktime_wkhr:double|sport_wkhr:double|nts_tripid:double|weight_tripXhh:double|trip_durationraw_min:double|trip_distraw_km:double|trip_mainmode:double|trip_purpose:double|trip_cycledist_km:double|trip_cycletime_min:double|trip_walkdist_km:double|trip_walktime_min:double","MD5","part-0.parquet=48629538b94d28dae014dea978a7208f"
"health_data/sp_cycle_outcomes","parquet","MIAMA-HM cycle outcomes including death shares","08e78e2f4c8b192d241ced752632495d15d8513a","Baseline person roster and annual health outcomes","inst/workflows/dev_refresh_packaged_health_data.R",37734,"census_id:double|mr_decile:int32|cycle:int32|all_cause_dementia:double|bladder_cancer:double|breast_cancer:double|colon_cancer:double|endometrial_cancer:double|esophageal_cancer:double|gastric_cardia_cancer:double|head_and_neck_cancer:double|liver_cancer:double|lung_cancer:double|myeloid_leukemia:double|coronary_heart_disease:double|depression:double|diabetes:double|parkinson.s_disease:double|stroke:double|dead:double|unhealthy:double|depression_remission:double|death_share_all_cause_dementia:double|death_share_bladder_cancer:double|death_share_breast_cancer:double|death_share_colon_cancer:double|death_share_coronary_heart_disease:double|death_share_depression:double|death_share_diabetes:double|death_share_endometrial_cancer:double|death_share_esophageal_cancer:double|death_share_gastric_cardia_cancer:double|death_share_head_and_neck_cancer:double|death_share_liver_cancer:double|death_share_lung_cancer:double|death_share_myeloid_leukemia:double|death_share_parkinson.s_disease:double|death_share_stroke:double|mmets_cycle:double","MD5","part-0.parquet=aa41fde9f682b165c866d0e014cb0c41"
"health_data/mmet_d_cycle_lookup","parquet","MIAMA-HM matching MMET cycle lookup","08e78e2f4c8b192d241ced752632495d15d8513a","Counterfactual health recalculation","inst/workflows/dev_refresh_packaged_health_data.R",11615625,"age1year:int32|female:double|mr_decile:int32|cycle:int32|outcome:string|mmets_lo:double|mmets_hi:double|slope:double","MD5","part-0.parquet=40dfa26b85a98d8c17644706ef986387"
"health_data/haly_parameters/pyld_table.csv","csv","MIAMA-HM residual pYLD","08e78e2f4c8b192d241ced752632495d15d8513a","Residual disability parameters","inst/workflows/dev_refresh_packaged_health_data.R",202,"sex:integer|age:integer|pyld_rate:numeric|pyld_rate_allcause:numeric","MD5","pyld_table.csv=4661c2faa3e63b66007f5126a7e46597"
"health_data/haly_parameters/dw_table.csv","csv","MIAMA-HM adjusted disability weights","08e78e2f4c8b192d241ced752632495d15d8513a","Comorbidity-adjusted disability weights","inst/workflows/dev_refresh_packaged_health_data.R",3232,"sex:integer|age:integer|disease:character|dw_raw:numeric|dw_adj:numeric","MD5","dw_table.csv=dff66855733a03a3dbf9d3f61c6c081f"
"health_data/release.rds","rds","MIAMA-HM source checksums and revision","08e78e2f4c8b192d241ced752632495d15d8513a","Health release provenance","inst/workflows/dev_refresh_packaged_health_data.R",7,"list","MD5","release.rds=72f8aa18e42b56c1600f2e9d8bbc44b3"
"lookup/geo_options.rds","rds","Derived from full MIAMA synthetic population","Census 2021 5% synthpop scale","Full-derived geography options","build_geo_lookup()",304,"geo_level:character|geo_id:character|geo_name:character|n_individuals:integer|person_weight:numeric|population_size_synth_scaled:numeric|population_source:character","MD5","geo_options.rds=840354c5556766ca2ece5bbcf8811a50"
"lookup/england_mode_default_candidates.csv","csv","Derived from full MIAMA synthetic population","unrecorded","England mode evidence","inst/workflows/dev_extract_england_schema_default_values.R",7,"mode:character|analysis_basis:character|mode_definition:character|availability:character|n_trip_rows:integer|n_week_users_ind:integer|n_week_users_from_trips:integer|total_week_trips_weighted:numeric|trips_per_week_user:numeric|mean_trip_distance_km:numeric|mean_trip_duration_min:numeric|mean_speed_kmh:numeric|total_distance_week_km:numeric|total_duration_week_min:numeric|distance_per_week_user_km:numeric|duration_per_week_user_min:numeric","MD5","england_mode_default_candidates.csv=a21e44b02e1500cbe315828bb92ed1d4"
"lookup/england_schema_default_candidates.csv","csv","Derived from full MIAMA synthetic population","unrecorded","England defaults","inst/workflows/dev_extract_england_schema_default_values.R",22,"schema_field:character|mode:character|source_metric:character|analysis_basis:character|raw_candidate_value:numeric|suggested_rounded_value:numeric|status:character|review_note:character","MD5","england_schema_default_candidates.csv=77ee794a75d0a30aa9b11b62750cdf3a"
"profiles/leeds/profile.rds","rds","Leeds sampling metadata","Census 2021 synthpop; profile seed 20260826","5000 person Leeds profile: profile.rds","inst/workflows/dev_build_packaged_lad_profile.R",18,"list","MD5","profile.rds=e84f7449402da450aca02bdb14e9c5c3"
"profiles/leeds/synthetic_pop/SPindivid_CensusNTSALS_parquet","parquet","Leeds synthpop attributes","Census 2021 synthpop; profile seed 20260826","5000 person Leeds profile: synthetic_pop/SPindivid_CensusNTSALS_parquet","inst/workflows/dev_build_packaged_lad_profile.R",5000,"census_id:double|nts_id:double|lad25cd:string|lad25nm:string|region:string|imd_decile:<haven_labelled[0]>|urban:double|female:<haven_labelled[0]>|age1year:double|nonwhite:<haven_labelled[0]>|limitingcondition:<haven_labelled[0]>|householdcar:<haven_labelled[0]>|zerotrips:<haven_labelled[0]>|cycletime_wkhr:double|walktime_wkhr:double|sport_wkhr:double","MD5","part-0.parquet=0c57f4024e61e6eca7b6e133bd41bf37"
"profiles/leeds/synthetic_pop/SPtrip_CensusNTSALS_parquet","parquet","Leeds synthpop trips","Census 2021 synthpop; profile seed 20260826","5000 person Leeds profile: synthetic_pop/SPtrip_CensusNTSALS_parquet","inst/workflows/dev_build_packaged_lad_profile.R",83534,"census_id:double|nts_id:double|lad25cd:string|lad25nm:string|region:string|imd_decile:double|urban:double|female:double|age1year:double|nonwhite:double|limitingcondition:double|householdcar:double|zerotrips:double|cycletime_wkhr:double|walktime_wkhr:double|sport_wkhr:double|nts_tripid:double|weight_tripXhh:double|trip_durationraw_min:double|trip_distraw_km:double|trip_mainmode:double|trip_purpose:double|trip_cycledist_km:double|trip_cycletime_min:double|trip_walkdist_km:double|trip_walktime_min:double","MD5","part-0.parquet=35f7e636f6c74f71cce75ad29d9b36e0"
"profiles/leeds/health_data/sp_cycle_outcomes","parquet","Leeds HM cycles including death shares","08e78e2f4c8b192d241ced752632495d15d8513a","5000 person Leeds profile: health_data/sp_cycle_outcomes","inst/workflows/dev_build_packaged_lad_profile.R",192102,"census_id:double|mr_decile:int32|cycle:int32|all_cause_dementia:double|bladder_cancer:double|breast_cancer:double|colon_cancer:double|endometrial_cancer:double|esophageal_cancer:double|gastric_cardia_cancer:double|head_and_neck_cancer:double|liver_cancer:double|lung_cancer:double|myeloid_leukemia:double|coronary_heart_disease:double|depression:double|diabetes:double|parkinson.s_disease:double|stroke:double|dead:double|unhealthy:double|depression_remission:double|death_share_all_cause_dementia:double|death_share_bladder_cancer:double|death_share_breast_cancer:double|death_share_colon_cancer:double|death_share_coronary_heart_disease:double|death_share_depression:double|death_share_diabetes:double|death_share_endometrial_cancer:double|death_share_esophageal_cancer:double|death_share_gastric_cardia_cancer:double|death_share_head_and_neck_cancer:double|death_share_liver_cancer:double|death_share_lung_cancer:double|death_share_myeloid_leukemia:double|death_share_parkinson.s_disease:double|death_share_stroke:double|mmets_cycle:double","MD5","part-0.parquet=4b6339aeed52601032eb328ac5a8708b"
"profiles/leeds/lookup/geo_options.rds","rds","Leeds geography lookup","Census 2021 synthpop; profile seed 20260826","5000 person Leeds profile: lookup/geo_options.rds","inst/workflows/dev_build_packaged_lad_profile.R",1,"geo_level:character|geo_id:character|geo_name:character|geo_label:character|n_individuals:integer|person_weight:numeric|population_size_synth_scaled:numeric|population_source:character","MD5","geo_options.rds=7873f2bc00b07463abe42e20f5956921"
